,交易日期,CV_1,intensity_1,size_1,sizevol_1
351,2017-07-13,9.785014350606484e-05,0,0.0,0.0
352,2017-07-14,8.47422729380199e-05,0,0.0,0.0
353,2017-07-17,0.0002665505278300527,0,0.0,0.0
354,2017-07-18,0.00013284395469897764,0,0.0,0.0
355,2017-07-19,9.626354297880359e-05,0,0.0,0.0
356,2017-07-20,6.319146780055423e-05,0,0.0,0.0
357,2017-07-21,4.464720958121112e-05,0,0.0,0.0
358,2017-07-24,7.140415774158169e-05,0,0.0,0.0
359,2017-07-25,7.532464029686367e-05,0,0.0,0.0
360,2017-07-26,8.815352394562072e-05,0,0.0,0.0
361,2017-07-27,7.965666632918066e-05,0,0.0,0.0
362,2017-07-28,4.3289662304985444e-05,0,0.0,0.0
363,2017-07-31,5.391944020850909e-05,0,0.0,0.0
364,2017-08-01,5.042967257105062e-05,0,0.0,0.0
365,2017-08-02,7.110458133635009e-05,0,0.0,0.0
366,2017-08-03,7.233452775210766e-05,0,0.0,0.0
367,2017-08-04,5.826760367638318e-05,0,0.0,0.0
368,2017-08-07,5.7381878957763464e-05,0,0.0,0.0
369,2017-08-08,4.133269980522376e-05,0,0.0,0.0
370,2017-08-09,3.187264303347671e-05,1,0.06710552416980303,0.8736436693172588
371,2017-08-10,8.132608802431904e-05,0,0.0,0.0
372,2017-08-11,9.414211981313559e-05,0,0.0,0.0
373,2017-08-14,6.027628351063648e-05,0,0.0,0.0
374,2017-08-15,5.7883754507654246e-05,0,0.0,0.0
375,2017-08-16,4.237800363081135e-05,0,0.0,0.0
376,2017-08-17,4.080845076729729e-05,0,0.0,0.0
377,2017-08-18,6.63382781788974e-05,0,0.0,0.0
378,2017-08-21,4.379245876759191e-05,0,0.0,0.0
379,2017-08-22,4.554973431230457e-05,0,0.0,0.0
380,2017-08-23,4.879825989718505e-05,0,0.0,0.0
381,2017-08-24,5.6589245046401996e-05,0,0.0,0.0
382,2017-08-25,5.877341895866027e-05,0,0.0,0.0
383,2017-08-28,8.876172227539612e-05,0,0.0,0.0
384,2017-08-29,4.4291157664488554e-05,0,0.0,0.0
385,2017-08-30,6.028708128892275e-05,0,0.0,0.0
386,2017-08-31,5.543330068505515e-05,0,0.0,0.0
387,2017-09-01,5.069480919271303e-05,0,0.0,0.0
388,2017-09-04,5.3964615233291227e-05,0,0.0,0.0
389,2017-09-05,4.4141273568839575e-05,0,0.0,0.0
390,2017-09-06,5.0112779985986136e-05,0,0.0,0.0
391,2017-09-07,4.298348963567163e-05,0,0.0,0.0
392,2017-09-08,4.988732758194621e-05,0,0.0,0.0
393,2017-09-11,5.3432993404710366e-05,0,0.0,0.0
394,2017-09-12,5.613220648600211e-05,0,0.0,0.0
395,2017-09-13,4.05209765260733e-05,0,0.0,0.0
396,2017-09-14,4.139787110051702e-05,0,0.0,0.0
397,2017-09-15,3.7707245793628144e-05,0,0.0,0.0
398,2017-09-18,4.755621689386653e-05,0,0.0,0.0
399,2017-09-19,4.898461481807361e-05,0,0.0,0.0
400,2017-09-20,3.637035005189408e-05,0,0.0,0.0
401,2017-09-21,3.9800081454332034e-05,0,0.0,0.0
402,2017-09-22,5.03638262931829e-05,0,0.0,0.0
403,2017-09-25,5.4541836972923035e-05,0,0.0,0.0
404,2017-09-26,1.56872527823431e-05,0,0.0,0.0
405,2017-09-27,2.1198163832967984e-05,0,0.0,0.0
406,2017-09-28,2.492764750124871e-05,0,0.0,0.0
407,2017-09-29,2.338130704558713e-05,0,0.0,0.0
408,2017-10-09,4.485317752942997e-05,0,0.0,0.0
409,2017-10-10,3.6288932612839266e-05,0,0.0,0.0
410,2017-10-11,3.209923552874939e-05,0,0.0,0.0
411,2017-10-12,3.075266898510277e-05,0,0.0,0.0
412,2017-10-13,2.2790776128004913e-05,0,0.0,0.0
413,2017-10-16,2.932424993787772e-05,0,0.0,0.0
414,2017-10-17,2.625963865397599e-05,0,0.0,0.0
415,2017-10-18,2.5968672135432783e-05,0,0.0,0.0
416,2017-10-19,2.3301606388005753e-05,0,0.0,0.0
417,2017-10-20,2.0654201963171673e-05,0,0.0,0.0
418,2017-10-23,2.094794757790022e-05,0,0.0,0.0
419,2017-10-24,3.448322160899036e-05,0,0.0,0.0
420,2017-10-25,2.2522672494955507e-05,0,0.0,0.0
421,2017-10-26,5.596179611642562e-05,0,0.0,0.0
422,2017-10-27,5.079624442352255e-05,0,0.0,0.0
423,2017-10-30,7.093935728815455e-05,0,0.0,0.0
424,2017-10-31,2.5193149788141e-05,0,0.0,0.0
425,2017-11-01,5.435676530208264e-05,0,0.0,0.0
426,2017-11-02,4.279905020536378e-05,0,0.0,0.0
427,2017-11-03,5.4941199998439245e-05,0,0.0,0.0
428,2017-11-06,3.25129253146137e-05,0,0.0,0.0
429,2017-11-07,5.371995599120129e-05,0,0.0,0.0
430,2017-11-08,4.480866150327138e-05,0,0.0,0.0
431,2017-11-09,3.973357797458418e-05,0,0.0,0.0
432,2017-11-10,6.180349583940837e-05,0,0.0,0.0
433,2017-11-13,4.333756587835102e-05,0,0.0,0.0
434,2017-11-14,1.9323639667746324e-05,1,0.05562184705845866,0.5847477838503005
435,2017-11-15,5.195684455586612e-05,0,0.0,0.0
436,2017-11-16,4.534677042451238e-05,0,0.0,0.0
437,2017-11-17,0.00010764469105079143,0,0.0,0.0
438,2017-11-20,0.00011272610483671318,0,0.0,0.0
439,2017-11-21,0.00011994153818333155,0,0.0,0.0
440,2017-11-22,0.0001052699182715202,0,0.0,0.0
441,2017-11-23,0.000179362581478083,0,0.0,0.0
442,2017-11-24,0.00020502307081802167,0,0.0,0.0
443,2017-11-27,0.00017098040069830211,0,0.0,0.0
444,2017-11-28,7.082842734580537e-05,0,0.0,0.0
445,2017-11-29,0.00011600875321199456,0,0.0,0.0
446,2017-11-30,0.0001165986190849502,0,0.0,0.0
447,2017-12-01,0.00010923292042933065,0,0.0,0.0
448,2017-12-04,8.046177604565558e-05,0,0.0,0.0
